timestamp_us,ecg,leads,ir,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
498585167,1651,1,202968,0.22,-0.24,9.99,-0.03,-0.01,-0.01,31.47
498670216,1827,1,203584,0.22,-0.22,9.99,-0.03,-0.01,-0.01,31.55
498744167,1623,1,204148,0.25,-0.24,9.99,-0.03,-0.02,-0.01,31.55
498824167,1575,1,204324,0.20,-0.22,10.00,-0.03,-0.01,-0.01,31.55
498904167,3525,1,204428,0.22,-0.22,9.98,-0.03,-0.01,-0.01,31.55
498984167,1482,1,204599,0.22,-0.21,10.00,-0.03,-0.01,-0.01,31.55
499063167,1777,1,204358,0.21,-0.22,9.99,-0.03,-0.01,-0.00,31.55
499143167,2042,1,203309,0.24,-0.22,9.99,-0.03,-0.01,-0.00,31.55
499223167,1719,1,203192,0.23,-0.22,10.00,-0.03,-0.01,-0.00,31.55
499303167,1744,1,203429,0.21,-0.23,9.99,-0.03,-0.01,-0.00,31.55
499383167,1833,1,203623,0.22,-0.23,10.00,-0.03,-0.01,-0.01,31.55
499463167,1856,1,203682,0.20,-0.23,9.96,-0.03,-0.01,-0.01,31.55
499543167,4054,1,203867,0.22,-0.22,9.98,-0.03,-0.01,-0.01,31.55
499623182,1744,1,204041,0.22,-0.22,9.99,-0.03,-0.01,-0.01,31.55
499708216,1968,1,203869,0.22,-0.21,9.97,-0.03,-0.01,-0.01,31.57
499784167,2159,1,202833,0.22,-0.22,9.97,-0.03,-0.01,-0.01,31.57
499864167,1680,1,202936,0.23,-0.22,9.97,-0.03,-0.01,-0.00,31.57
499944167,1765,1,203237,0.23,-0.24,9.99,-0.03,-0.01,-0.01,31.57
500024187,1817,1,203400,0.24,-0.22,9.98,-0.03,-0.01,-0.01,31.57
500103167,1845,1,203440,0.22,-0.23,9.99,-0.03,-0.01,-0.01,31.57
500183167,1796,1,203610,0.21,-0.21,9.98,-0.03,-0.01,-0.01,31.57
500263167,1808,1,203843,0.21,-0.23,10.00,-0.03,-0.01,-0.01,31.57
500343167,2218,1,203521,0.22,-0.22,9.98,-0.03,-0.01,-0.01,31.57
500423167,2259,1,202700,0.22,-0.21,9.97,-0.03,-0.01,-0.00,31.57
500503167,1909,1,202739,0.22,-0.23,9.99,-0.03,-0.01,-0.01,31.57
500583167,1906,1,202925,0.22,-0.23,9.96,-0.03,-0.01,-0.01,31.57
500663168,2014,1,202980,0.23,-0.23,9.96,-0.03,-0.01,-0.01,31.57
500748216,1968,1,203003,0.22,-0.23,9.98,-0.03,-0.01,-0.01,31.55
500822167,1775,1,203143,0.23,-0.23,9.99,-0.03,-0.01,-0.01,31.55
500902167,1820,1,203354,0.23,-0.22,10.00,-0.03,-0.01,-0.00,31.55
500982167,2034,1,202689,0.24,-0.24,9.97,-0.03,-0.01,-0.00,31.55
501063174,1954,1,201942,0.24,-0.23,9.98,-0.03,-0.01,-0.00,31.55
501143167,1725,1,201897,0.20,-0.23,9.99,-0.03,-0.01,-0.01,31.55
501223167,1790,1,202121,0.23,-0.22,10.00,-0.03,-0.01,-0.01,31.55
501303167,1890,1,202283,0.23,-0.23,9.98,-0.03,-0.01,-0.01,31.55
501381167,1702,1,202397,0.23,-0.23,10.01,-0.03,-0.01,-0.01,31.55
501461167,1511,1,202675,0.21,-0.22,9.98,-0.03,-0.01,-0.01,31.55
501541167,1717,1,202867,0.23,-0.21,9.97,-0.03,-0.01,-0.01,31.55
501621167,2047,1,201974,0.21,-0.23,9.96,-0.03,-0.01,-0.00,31.55
501701167,1910,1,201505,0.21,-0.23,9.98,-0.03,-0.01,-0.01,31.55
501786216,1776,1,201789,0.24,-0.21,9.99,-0.03,-0.01,-0.01,31.53
501862167,1819,1,201986,0.22,-0.23,10.02,-0.03,-0.01,-0.00,31.53
501942167,1909,1,202076,0.21,-0.23,10.01,-0.03,-0.01,-0.01,31.53
502022167,1761,1,202414,0.22,-0.22,9.98,-0.03,-0.01,-0.00,31.53
502101167,1727,1,202781,0.22,-0.22,9.97,-0.03,-0.01,-0.00,31.53
502181167,1779,1,203104,0.22,-0.23,9.97,-0.03,-0.01,-0.01,31.53
502261167,1983,1,202345,0.23,-0.23,9.97,-0.03,-0.01,-0.00,31.53
502341167,1841,1,201846,0.23,-0.22,9.98,-0.03,-0.01,-0.01,31.53
502421167,1621,1,202044,0.21,-0.24,9.97,-0.03,-0.01,-0.00,31.53
502501167,1672,1,202354,0.22,-0.23,9.98,-0.03,-0.01,-0.01,31.53
502581167,1790,1,202553,0.22,-0.25,10.02,-0.03,-0.01,-0.00,31.53
502661167,1695,1,202705,0.23,-0.22,10.00,-0.03,-0.01,-0.00,31.53
502741167,1689,1,203042,0.23,-0.23,9.99,-0.03,-0.01,-0.00,31.53
502826216,1975,1,203249,0.22,-0.23,9.98,-0.03,-0.01,-0.00,31.49
502900187,2202,1,202354,0.22,-0.21,10.00,-0.03,-0.01,-0.01,31.49
502980167,2012,1,202057,0.24,-0.23,9.99,-0.03,-0.01,-0.00,31.49
503060167,1909,1,202522,0.22,-0.23,9.98,-0.03,-0.01,-0.00,31.49
503141167,1996,1,203088,0.23,-0.23,9.98,-0.03,-0.01,-0.01,31.49
503221167,2023,1,203393,0.24,-0.21,9.96,-0.03,-0.01,-0.01,31.49
503301167,3669,1,203654,0.23,-0.24,10.01,-0.03,-0.00,-0.01,31.49
503381167,2179,1,203861,0.23,-0.22,9.98,-0.03,-0.01,-0.01,31.49
503459167,2231,1,203573,0.23,-0.22,10.00,-0.03,-0.01,-0.01,31.49
503539167,2290,1,202039,0.22,-0.22,9.97,-0.03,-0.01,-0.01,31.49
503619167,1865,1,201772,0.23,-0.23,10.00,-0.03,-0.01,-0.01,31.49
503699167,1744,1,201857,0.23,-0.22,9.98,-0.03,-0.01,-0.01,31.49
503779167,1922,1,201968,0.23,-0.23,9.97,-0.03,-0.01,-0.01,31.49
503864216,2003,1,202251,0.23,-0.23,10.00,-0.03,-0.01,-0.00,31.49
503940167,1808,1,202582,0.21,-0.22,10.00,-0.03,-0.01,-0.01,31.49
504020167,1789,1,203109,0.22,-0.23,10.00,-0.03,-0.01,-0.01,31.49
504100167,1980,1,202936,0.22,-0.22,10.01,-0.03,-0.02,-0.01,31.49
504180167,1859,1,202294,0.22,-0.25,9.96,-0.03,-0.02,-0.01,31.49
504260167,1328,1,202331,0.24,-0.22,10.01,-0.03,-0.01,-0.01,31.49
504340174,1281,1,202671,0.23,-0.21,10.00,-0.03,-0.01,-0.01,31.49
504420167,1490,1,202864,0.24,-0.22,9.96,-0.03,-0.01,-0.01,31.49
504500167,1535,1,203080,0.24,-0.25,9.98,-0.03,-0.01,-0.00,31.49
504578167,1442,1,203427,0.22,-0.23,10.01,-0.03,-0.01,-0.00,31.49
504658167,1725,1,203925,0.23,-0.24,9.99,-0.03,-0.01,-0.01,31.49
504738166,2045,1,203300,0.23,-0.22,9.99,-0.03,-0.02,-0.01,31.49
504818166,1659,1,202804,0.23,-0.21,10.00,-0.04,-0.01,-0.01,31.49
504903216,1482,1,203351,0.21,-0.23,10.04,-0.04,-0.02,-0.01,31.61
504979167,1151,1,203777,0.22,-0.24,9.99,-0.03,-0.01,-0.00,31.61
505059167,1264,1,203605,0.23,-0.24,10.07,-0.03,-0.03,-0.00,31.61
505139167,2559,1,203370,0.29,-0.22,9.90,-0.03,-0.04,-0.00,31.61
505219167,1403,1,203356,0.26,-0.23,9.98,-0.03,-0.00,-0.01,31.61
505299167,1862,1,203426,0.28,-0.24,9.96,-0.03,-0.01,-0.01,31.61
505379167,2497,1,202669,0.25,-0.22,10.02,-0.03,-0.02,-0.01,31.61
505459167,2070,1,202501,0.24,-0.23,10.00,-0.03,-0.01,-0.00,31.61
505539167,2253,1,202406,0.26,-0.26,9.98,-0.03,-0.00,-0.00,31.61
505619167,2327,1,202508,0.24,-0.23,10.00,-0.03,-0.01,0.00,31.61
505697149,2043,1,202928,0.25,-0.23,9.99,-0.03,-0.00,-0.01,31.61
505777167,1762,1,203230,0.28,-0.23,9.98,-0.03,-0.01,-0.01,31.61
505857167,1970,1,203253,0.26,-0.24,9.98,-0.03,-0.01,-0.00,31.61
505942216,1835,1,202762,0.25,-0.22,9.96,-0.03,-0.01,-0.00,31.83
506018167,1728,1,202239,0.24,-0.22,9.98,-0.03,-0.01,-0.01,31.83
506098167,1792,1,202368,0.26,-0.23,10.00,-0.03,-0.01,-0.01,31.83
506178173,1894,1,202812,0.23,-0.22,10.00,-0.03,-0.01,-0.00,31.83
506258167,1936,1,202988,0.26,-0.22,9.97,-0.03,-0.01,-0.00,31.83
506338167,3967,1,203287,0.23,-0.23,9.98,-0.03,-0.01,-0.01,31.83
506418167,2112,1,203778,0.24,-0.23,9.97,-0.03,-0.01,-0.01,31.83
506498167,2207,1,203720,0.23,-0.21,9.97,-0.03,-0.01,-0.01,31.83
506578167,2368,1,202786,0.24,-0.22,9.98,-0.03,-0.01,-0.00,31.83
506658167,1859,1,202401,0.24,-0.21,10.00,-0.03,-0.01,-0.01,31.83
506738167,1861,1,202557,0.25,-0.22,9.97,-0.03,-0.01,-0.01,31.83
506816167,1873,1,202906,0.24,-0.23,10.00,-0.03,-0.01,-0.01,31.83
506896167,1894,1,202864,0.24,-0.23,9.98,-0.03,-0.01,-0.01,31.83
506981216,1649,1,203204,0.24,-0.23,10.01,-0.03,-0.01,-0.01,31.99
507057167,1776,1,203543,0.22,-0.22,9.98,-0.03,-0.01,-0.00,31.99
507137167,1943,1,203058,0.23,-0.22,9.97,-0.03,-0.01,-0.00,31.99
507217167,2032,1,202497,0.24,-0.24,10.02,-0.03,-0.01,-0.00,31.99
507297167,1728,1,202622,0.23,-0.22,9.97,-0.03,-0.01,-0.00,31.99
507377167,1808,1,203065,0.25,-0.24,9.98,-0.03,-0.01,-0.00,31.99
507457167,1773,1,203229,0.25,-0.23,9.99,-0.03,-0.01,-0.01,31.99
507537167,1835,1,203378,0.23,-0.23,9.96,-0.03,-0.01,-0.00,31.99
507617167,1748,1,203632,0.26,-0.24,9.99,-0.03,-0.01,-0.01,31.99
507697167,2016,1,203877,0.25,-0.22,10.01,-0.03,-0.01,-0.01,31.99
507777167,2187,1,203229,0.24,-0.23,9.98,-0.03,-0.01,-0.01,31.99
507857167,1904,1,202706,0.24,-0.26,9.97,-0.03,-0.01,-0.01,31.99
507937167,1721,1,202910,0.26,-0.23,9.99,-0.03,-0.01,-0.01,31.99
508020216,1907,1,203220,0.24,-0.23,10.01,-0.03,-0.01,-0.00,32.03
508096167,1825,1,203326,0.23,-0.23,10.03,-0.03,-0.01,-0.00,32.03
508176167,2112,1,203486,0.24,-0.23,10.00,-0.03,-0.01,-0.01,32.03
508256167,2040,1,203630,0.24,-0.21,10.00,-0.03,-0.01,-0.01,32.03
508336167,2170,1,203580,0.24,-0.21,9.96,-0.03,-0.01,-0.00,32.03
508416167,2352,1,202611,0.26,-0.25,9.99,-0.03,-0.01,-0.00,32.03
508496167,1765,1,202402,0.23,-0.21,10.01,-0.03,-0.01,-0.01,32.03
508576167,1760,1,202689,0.24,-0.23,9.99,-0.03,-0.01,-0.00,32.03
508656167,1874,1,202949,0.24,-0.23,10.00,-0.03,-0.01,-0.00,32.03
508736167,1883,1,203093,0.24,-0.22,9.98,-0.03,-0.01,-0.00,32.03
508816167,2027,1,203230,0.24,-0.23,9.97,-0.03,-0.01,-0.01,32.03
508896167,1668,1,203400,0.24,-0.25,9.98,-0.03,-0.01,-0.01,32.03
508976167,1828,1,203334,0.25,-0.24,10.00,-0.03,-0.01,-0.00,32.03
509061216,2346,1,202313,0.23,-0.23,10.01,-0.03,-0.01,-0.01,31.97
509135167,1911,1,202087,0.26,-0.23,9.99,-0.03,-0.01,-0.01,31.97
509215167,1903,1,202387,0.25,-0.24,9.98,-0.03,-0.01,-0.01,31.97
